ID,Airline Name,Verified,Date Flown,Value For Money,Recommend
465,Aerolineas Argentinas,FALSE,November 2015,4,yes
466,Aerolineas Argentinas,FALSE,December 2015,1,no
467,Aerolineas Argentinas,FALSE,October 2015,4,yes
468,Aerolineas Argentinas,FALSE,November 2015,4,yes
469,Aerolineas Argentinas,FALSE,August 2015,1,no
470,Aerolineas Argentinas,FALSE,July 2015,3,yes
471,Aerolineas Argentinas,FALSE,July 2015,2,no
472,Aerolineas Argentinas,FALSE,,4,yes
473,Aerolineas Argentinas,FALSE,,4,yes
474,Aerolineas Argentinas,FALSE,,2,no
475,Aerolineas Argentinas,FALSE,,5,yes
476,Aerolineas Argentinas,FALSE,,5,yes
477,Aerolineas Argentinas,FALSE,,2,no
478,Aerolineas Argentinas,FALSE,,1,no
479,Aerolineas Argentinas,FALSE,,5,yes
480,Aerolineas Argentinas,FALSE,,4,yes
481,Aerolineas Argentinas,FALSE,,1,no
482,Aerolineas Argentinas,FALSE,,3,yes
483,Aerolineas Argentinas,FALSE,,5,yes
484,Aerolineas Argentinas,FALSE,,4,yes
485,Aerolineas Argentinas,FALSE,,4,yes
486,Aerolineas Argentinas,FALSE,,2,no
487,Aerolineas Argentinas,FALSE,,5,yes
488,Aerolineas Argentinas,FALSE,,3,yes
489,Aerolineas Argentinas,FALSE,,3,no
490,Aerolineas Argentinas,FALSE,,5,yes
491,Aerolineas Argentinas,FALSE,,2,no
492,Aerolineas Argentinas,FALSE,,4,yes
493,Aerolineas Argentinas,FALSE,,2,no
494,Aerolineas Argentinas,FALSE,,5,yes
495,Aerolineas Argentinas,FALSE,,2,no
496,Aerolineas Argentinas,FALSE,,4,yes
497,Aerolineas Argentinas,FALSE,,1,no
498,Aerolineas Argentinas,FALSE,,2,no
499,Aerolineas Argentinas,FALSE,,1,no
500,Aerolineas Argentinas,FALSE,,4,yes
501,Aeromar,TRUE,October 2019,1,no
502,Aeromar,TRUE,September 2019,1,no
503,Aeromar,TRUE,October 2018,3,no
504,Aeromar,TRUE,November 2018,1,no
505,Aeromar,TRUE,June 2018,1,no
506,Aeromar,TRUE,December 2017,1,no
507,Aeromar,TRUE,January 2018,1,no
